name1,name2,date,case_day_minus_0,case_day_minus_1,case_day_minus_2,case_day_minus_3,case_day_minus_4,case_day_minus_5,case_day_minus_6,case_day_minus_7,case_day_minus_8,case_day_minus_9
Adygea_Republic__Russia,XXX,2020.07.30,2714,2679,2642,2604,2568,2530,2496,2470,2436,2411
Adygea_Republic__Russia,XXX,2020.07.29,2679,2642,2604,2568,2530,2496,2470,2436,2411,2384
Adygea_Republic__Russia,XXX,2020.07.28,2642,2604,2568,2530,2496,2470,2436,2411,2384,2364
Adygea_Republic__Russia,XXX,2020.07.27,2604,2568,2530,2496,2470,2436,2411,2384,2364,2344
Adygea_Republic__Russia,XXX,2020.07.26,2568,2530,2496,2470,2436,2411,2384,2364,2344,2326
Adygea_Republic__Russia,XXX,2020.07.25,2530,2496,2470,2436,2411,2384,2364,2344,2326,2308
Adygea_Republic__Russia,XXX,2020.07.24,2496,2470,2436,2411,2384,2364,2344,2326,2308,2291
Adygea_Republic__Russia,XXX,2020.07.23,2470,2436,2411,2384,2364,2344,2326,2308,2291,2275
Adygea_Republic__Russia,XXX,2020.07.22,2436,2411,2384,2364,2344,2326,2308,2291,2275,2258
Adygea_Republic__Russia,XXX,2020.07.21,2411,2384,2364,2344,2326,2308,2291,2275,2258,2242
Adygea_Republic__Russia,XXX,2020.07.20,2384,2364,2344,2326,2308,2291,2275,2258,2242,2224
Adygea_Republic__Russia,XXX,2020.07.19,2364,2344,2326,2308,2291,2275,2258,2242,2224,2205
Adygea_Republic__Russia,XXX,2020.07.18,2344,2326,2308,2291,2275,2258,2242,2224,2205,2187
Adygea_Republic__Russia,XXX,2020.07.17,2326,2308,2291,2275,2258,2242,2224,2205,2187,2167
Adygea_Republic__Russia,XXX,2020.07.16,2308,2291,2275,2258,2242,2224,2205,2187,2167,2145
Adygea_Republic__Russia,XXX,2020.07.15,2291,2275,2258,2242,2224,2205,2187,2167,2145,2121
Adygea_Republic__Russia,XXX,2020.07.14,2275,2258,2242,2224,2205,2187,2167,2145,2121,2094
Adygea_Republic__Russia,XXX,2020.07.13,2258,2242,2224,2205,2187,2167,2145,2121,2094,2068
Adygea_Republic__Russia,XXX,2020.07.12,2242,2224,2205,2187,2167,2145,2121,2094,2068,2039
Adygea_Republic__Russia,XXX,2020.07.11,2224,2205,2187,2167,2145,2121,2094,2068,2039,1981
Adygea_Republic__Russia,XXX,2020.07.10,2205,2187,2167,2145,2121,2094,2068,2039,1981,1935
Adygea_Republic__Russia,XXX,2020.07.09,2187,2167,2145,2121,2094,2068,2039,1981,1935,1898
Adygea_Republic__Russia,XXX,2020.07.08,2167,2145,2121,2094,2068,2039,1981,1935,1898,1847
Adygea_Republic__Russia,XXX,2020.07.07,2145,2121,2094,2068,2039,1981,1935,1898,1847,1795
Adygea_Republic__Russia,XXX,2020.07.06,2121,2094,2068,2039,1981,1935,1898,1847,1795,1746
Adygea_Republic__Russia,XXX,2020.07.05,2094,2068,2039,1981,1935,1898,1847,1795,1746,1712
Adygea_Republic__Russia,XXX,2020.07.04,2068,2039,1981,1935,1898,1847,1795,1746,1712,1682
Adygea_Republic__Russia,XXX,2020.07.03,2039,1981,1935,1898,1847,1795,1746,1712,1682,1647
Adygea_Republic__Russia,XXX,2020.07.02,1981,1935,1898,1847,1795,1746,1712,1682,1647,1607
Adygea_Republic__Russia,XXX,2020.07.01,1935,1898,1847,1795,1746,1712,1682,1647,1607,1569
Adygea_Republic__Russia,XXX,2020.06.30,1898,1847,1795,1746,1712,1682,1647,1607,1569,1541
Adygea_Republic__Russia,XXX,2020.06.29,1847,1795,1746,1712,1682,1647,1607,1569,1541,1511
Adygea_Republic__Russia,XXX,2020.06.28,1795,1746,1712,1682,1647,1607,1569,1541,1511,1484
Adygea_Republic__Russia,XXX,2020.06.27,1746,1712,1682,1647,1607,1569,1541,1511,1484,1446
Adygea_Republic__Russia,XXX,2020.06.26,1712,1682,1647,1607,1569,1541,1511,1484,1446,1415
